code_id,m,candidate_index,graph_seed,construction_attempts,classical_H_sha256,classical_rank,classical_distance,n,k,rank_H_X,rank_H_Z,section_fingerprint,logical_frame_fingerprint,code_npz_sha256
m06_c07,6,8,1505007479642146801,30,84dc647ed4bfb9b3737a06fd84b45cc1b0fd98495f4fe943e5672d391faca905,18,6,900,36,432,432,936ba9ffd582477682a03c95cc4aa9e9c00e8bf17e7292cf88385a2fdd06c7be,2bc1c32b21cc521d9187ebe21f2770ce150fecef984a2188e2413d7b9decb09b,b87ee8c145f4b66f3ceffda025f5c03f0ed0a5ab08561a3c3fdafa7d5a2df918
m07_c00,7,0,3636456599711717076,16,3bab4d51a660e874de3ea0ae241c8e791b71d341a19dc7bf9f7c0ceab1d12b8a,21,6,1225,49,588,588,f0de85b636ff9d486fb2eb060d7bbca11e879dd8d3c18e8a2239ae90d2c54667,0bb3f666cc2a148fad992e438fda11061ee22bc84037a656542d46b119150c10,c820d580111f6f6ee90aa59495c190e673783fddccaf160be10ab49fbbb6d516
m07_c01,7,1,3853581360251671728,4,d55e974a9d93cfff2bc36ecf853841eb25a5f16034b9a5058e28c298ecab07a4,21,6,1225,49,588,588,ea1b0537a36e298f059e985d3f14fd025dfc92456bef97ce6bb2a45f13ae73c4,43e7e9b1ad712d3ae7b10f58319aa7728e50b8e829b7da5118ce0cf5664ec5eb,209800ab79a8ec16269a38ed3d8d1cdc0eefd94ca5b77b018aa97e81581334c3
m07_c02,7,2,2933987738829539892,30,593b789cf218a370eefa76f39aad57b2e09f6d4782b1b3fb46c04d00581249d3,21,6,1225,49,588,588,260a5f1f792d7438f29340b5517bab5144ee7ed153de6e2bf4e2a6183448f912,8857376f811f412540bfb0c2be2f6b14c0bf43a34bdf0cff59d8e3d4e726324c,594b7427e4ab9d227fe4ad5ac8dd395a44eda645c2a7eafac7f2a5a0383e4c0b
m07_c03,7,4,8991188957731464024,74,8a79e5083977d688d4e1ecc9f8661c18aae26902c120ee71f25564b65996b881,21,8,1225,49,588,588,e8bc943746a41584f5c5bd0d0af7cc2ae3a1069563e4545936e12a7843eea2b9,5463a1a6f31f0bc46721efb902dc0b074b5d69466b7093696be72f69cfb5f2ae,2353382efd95da7f322df55a9fadfa380f907b295d5682d1d4b7aa744233703c
m07_c04,7,5,7707906817560585520,169,4e2787bd83b2cd1c250bb53720ceed4ee0754e53d0a4a0c6d79714758b6d8d06,21,8,1225,49,588,588,7f20f882acecf0f17f38b52c5eec47ac40898b93ea3be434714b55b73f217bc7,bfe664cd5803605b3d5be19938cd0ec957eb8802d6fc282714243e9006ded0c1,bb05bf15fc1e5eaabb9037a259807ed24aa5267465c75fbbf92b53710fdb8402
m07_c05,7,6,2937788557323527550,49,4dc9ad8faeecb0692f6c9c6113171ba1cb432be4ddd2e6bae7a8046267d96ab9,21,6,1225,49,588,588,0d1059402cfae7501b7fd9b12ffcad455a0c2f39c12eea5856aa8e5e4c8ee36c,074b5480dff59857f9979b975169c545d73be901a17fa6a3a8f9ce266e76ad21,0d448834952188b139eb6f741ee606696b02114e4a3267eaf4daa88d50ef4f95
m07_c06,7,7,3427516938593489760,59,b56210b03ca104fa45077545c8152e318579c2b5d68ee0fb03b46892d41abefc,21,8,1225,49,588,588,ac5d630985683c231ed3ac71756fd4a2e7696cba8acd6029502556f64cb2ea16,0391af6392523047833f6608595057fbeaf063c504d81cb6bb2aab6aa6278a12,6eb2c0f0a1c315308d8e390661be3708a5ca52f01f71cc91b8f17db9d23d81af
m07_c07,7,8,5340628836598007024,9,3861f736b8182631224987c62d1a1e2d9fafbbf405b0c3cb37dd7e1738a23785,21,6,1225,49,588,588,ccf4820165f0c76f6c399ec34b41874eaf6e2d9153743fbca38b0cda76c8b6b2,c3dfd75549b07b6f259e676aa76673ede577a960f8bc22382df948ca27c99dd9,ac8f3a4f7909648e5fb3b56ebc71d0138e9eccf8298d7500de381a894c063906
m08_c00,8,0,765347746706124008,20,729ea4f6fd194a264692f022fc1e0035a06e3b87744475082114feb9a2100722,24,8,1600,64,768,768,1e2ee8b960bb08e08b900d7f1ce1005a2d98797338ad02a7d5289c43bfeb0ec3,5d527021f7e92a34ff9c40cacea7b6e7082fb0ee32f17c7098044efd70caddc9,ed9af3f7d279df5619a8fe322aa187aefcd446c28709a5610b0e05b6251dc12a
m08_c01,8,1,5208725084799645001,30,2ad37bde8e2aa9e7eb29eac1a76c50206d7e5f6a13b906f9e16ed10486685ccb,24,6,1600,64,768,768,c98f1a48ea0157c03a45501ca007dc654b8e76935f37cd0b572ec9e38b7856fa,b07df6ae74b18ea2592900b2dc43bba6807f1e9249347b43443d912fe6388aa9,e6eff8413a95c2ee8d4e2566c2677ac6df019048f618033336ab6a0becbd4c4b
m08_c02,8,2,3304540212707841444,5,0c8ac424bac173c7caba2a65c30d2804de9ea3057f9d408899a4f81e3d29cc2e,24,10,1600,64,768,768,4873a1a938e00ecd0eb81dd25bccbff1c0b944903c914059f4be0b923ece0f5c,fc2cca5b1c2fad3a0b236cca9ee3eb7f28a12d520d058cfa26f6cc0f4b21af02,7d3b768a4235443541e8cd9c6f78e3509b96f43597a2af64674739e44b7a211b
m08_c03,8,3,5348474174999640680,4,4c9973801e4305941f4879f7cbada02e893f299c1d666614160a947595cbcc06,24,8,1600,64,768,768,33c59b78058ebbd4a91ce22e785c2323310af6422a272cd8d9cdbab298d6afe9,81419ef62558a49f6f9170172d1906d18466f17558ac79c2ef2ca66768ad2de0,9050033c2a4abc16eab19f1d850654628d8907d35aa1ed20428ccf1f8d9290f7
m08_c04,8,4,1547732733490192790,37,4df6fc6deea3e14dea87f533404d3f0af42bcb1b795c4c2fac280e3daec5e09f,24,2,1600,64,768,768,eb6dfbceb004fee43d8ac61700c8f19f4126d5f375c408b51826e367d4256186,aea5cd494c4ae3887bf11e6d185a95f1645ec5b87d29bdb3c9e04699e4190ea0,0d15d54a39c2e429b8ff746171b2f5d6407c07556dbf8e2e4ff8be46cd963d5f
m08_c05,8,5,2236382130245980996,20,0a9446e6619cb1aa1c6a1ff56d8245522effa7d7a2afe29c9b4ae792d5ccba97,24,10,1600,64,768,768,c45d68f7be06eebbc774338cfd131f7f3faeb24c9c34306e7756c899f67a8f02,6b7b90dd2ba8b73aa6e9d60b94cd51cc0185ef562de6a921dec468f7c93ca7d4,a207387bd8f32491e095b1abe3b037360a4e3e9820488c1458f98386cba8615f
m08_c06,8,6,8576153262225070804,34,20425379cb375ce011c3b557a55fe996c0aa2afb6a309c9976bce02255d1822a,24,6,1600,64,768,768,e276065188efa3c930e073bbfbd205b18d0afedbedfe8792392404c838100265,b7b15645cfecb817361a27852ace01ac749aa0cd40cbf47a360a09a52ebf9474,97e93376c38777d41fc1ccec7f4fefbeec55a69dd4197d5c77f3abe6d35547f2
m08_c07,8,7,1890035499950070710,13,0c651cd5ae7d9a40d670488931e47b4b5f49413d9c915764b0d04b6eec2376c6,24,4,1600,64,768,768,cf3d3819d0738143ff56cfa4a55bbf6613482099358be3977200494d0e46a06a,3f86bb33fb963525317ebefad924139cf8bdd9f78eac85fd5a4cfb518c5746de,31214d5d7133ae8ae2a422699ed9e6228a767701d8c865ec51bf3531096ed492
