run,canonical_source,input_sha256,source_git_sha,lattice_size,p,num_disorder,q_top_mean,q_top_std,q_top_sem,q_top_ci95_low,q_top_ci95_high,four_start_spread_mean,four_start_spread_std,four_start_spread_sem,four_start_spread_ci95_low,four_start_spread_ci95_high
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.1025,512,0.55804766031901032,0.30667300758373078,0.013553160204333095,0.53148395444181595,0.58461136619620468,0.061354622395833343,0.040635062686494368,0.0017958330237225384,0.057834854347089501,0.064874390444577185
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.105,512,0.53331627604166665,0.32517705797676455,0.014370931423853832,0.50514976802661826,0.56148278405671503,0.058910807291666673,0.036834071672938194,0.0016278513661653695,0.055720277241798226,0.062101337341535119
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.1075,512,0.53618059692382802,0.30861595569071792,0.013639027190704606,0.50944859484588445,0.5629125990017716,0.06068284505208333,0.038447606302580269,0.0016991601960590719,0.057352552263843531,0.064013137840323128
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.11,512,0.50568379516601569,0.31502417662459636,0.013922233220560047,0.47839671946935092,0.53297087086268047,0.058389811197916676,0.037252350718852578,0.0016463368630275134,0.055163050239962097,0.061616572155871255
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.1125,512,0.47079155883789064,0.30626498244646827,0.01353512787049229,0.44426319568558142,0.49731992199019986,0.058257031250000001,0.034876136375676443,0.001541322033301727,0.055236095576150571,0.061277966923849431
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.115,512,0.46561867675781254,0.30103708836999732,0.01330408541094244,0.43954314850512061,0.49169420501050448,0.06046943359374999,0.037472851438876902,0.0016560817101766206,0.05722357308634831,0.063715294101151662
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.1175,512,0.45031083780924475,0.30627694433071923,0.013535656516084141,0.42378143853061495,0.47684023708787454,0.059672330729166674,0.038129726344811848,0.0016851117539502379,0.056369572381499089,0.062975089076834259
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.12,512,0.40864829915364587,0.28778805310156114,0.012718555243286757,0.38372038894142074,0.43357620936587099,0.058092447916666665,0.036208147149824926,0.0016001891489900979,0.054956134816194276,0.061228761017139054
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.1225,512,0.41076361287434893,0.29966352259400281,0.013243381806279222,0.38480706150052862,0.43672016424816923,0.057197721354166661,0.036265133860428685,0.0016027076295841874,0.054056472122434092,0.060338970585899231
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.125,512,0.38605454711914067,0.29884327016878437,0.013207131428019431,0.36016904518113552,0.41194004905714582,0.057691015624999994,0.034653447345481279,0.0015314804755925484,0.054689369049812329,0.06069266220018766
