config,k,p_k,q_k,swap_acceptance_to_k_plus_1,winding_acceptance_rate_mean,winding_accepted_per_chain_mean,winding_attempted_per_chain_mean,sector_flips_per_chain_mean,sector_flip_rate_per_diagnostic_interval,chains_with_sector_flip,num_chains,diagnostic_samples_mean,diagnostic_stride,num_measurements
N_strict_qhot035_m128,7,0.16587448906125732,0.20755392628727212,0.38208168642951257,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
N_strict_qhot035_m128,8,0.18506902541390743,0.22625198267365218,0.3069828722002635,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
N_strict_qhot035_m128,9,0.2041571027257682,0.2444353269827505,0.18873517786561264,3.6597862684819206e-05,1.0,27324.0,0.5,0.003937007874015748,1,4,128.0,1,128
N_strict_qhot035_m128,10,0.22293089113339257,0.26197240125795757,0.12220026350461133,2.7448397013614406e-05,0.75,27324.0,6.0,0.047244094488188976,4,4,128.0,1,128
N_strict_qhot035_m128,11,0.2412172677198619,0.27876495332695184,0.10836627140974966,4.5747328356024006e-05,1.25,27324.0,35.0,0.2755905511811024,4,4,128.0,1,128
N_strict_qhot035_m128,12,0.2588784490212289,0.2947447996827083,0.158102766798419,0.00020128824476650566,5.5,27324.0,80.0,0.6299212598425197,4,4,128.0,1,128
N_strict_qhot035_m128,13,0.27581041575712545,0.30986986548357415,0.24044795783926218,0.001061338017859757,29.0,27324.0,93.25,0.734251968503937,4,4,128.0,1,128
N_strict_qhot035_m128,14,0.2919398675782645,0.32411998496211214,0.3106060606060606,0.004016615429658908,109.75,27324.0,93.75,0.7381889763779528,4,4,128.0,1,128
N_strict_qhot035_m128,15,0.3072203529656482,0.33749280375239565,0.37483530961791833,0.009469696969696968,258.75,27324.0,92.75,0.7303149606299213,4,4,128.0,1,128
N_strict_qhot035_m128,16,0.321628083530623,0.3499999999999999,,0.020723539745278876,566.25,27324.0,93.75,0.7381889763779528,4,4,128.0,1,128
O_strict_qhot044_m128,0,0.05000000000000001,0.08000000000000002,0.6205533596837944,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
O_strict_qhot044_m128,1,0.07257695922829767,0.10780963323518476,0.5382081686429513,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
O_strict_qhot044_m128,2,0.09934477306427171,0.13840445533459758,0.4268774703557312,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
O_strict_qhot044_m128,3,0.12925848318441222,0.170476383034992,0.3069828722002635,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
O_strict_qhot044_m128,4,0.1610350016471528,0.20276651473041807,0.14393939393939395,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
O_strict_qhot044_m128,5,0.1933817204294536,0.23421760092864904,0.03557312252964427,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
O_strict_qhot044_m128,6,0.22517164095918338,0.26404469451881885,0.008893280632411068,3.6597862684819206e-05,1.0,27324.0,5.25,0.04133858267716535,4,4,128.0,1,128
O_strict_qhot044_m128,7,0.2555374247509625,0.29173850689874975,0.014163372859025032,0.00016469038208168644,4.5,27324.0,66.5,0.5236220472440944,4,4,128.0,1,128
O_strict_qhot044_m128,8,0.2838918621825495,0.31702788661175546,0.07345191040843214,0.0023605621431708385,64.5,27324.0,94.25,0.7421259842519685,4,4,128.0,1,128
O_strict_qhot044_m128,9,0.30989950347439227,0.33982570766949244,0.15579710144927536,0.012022397891963108,328.5,27324.0,96.25,0.7578740157480315,4,4,128.0,1,128
O_strict_qhot044_m128,10,0.3334253141229418,0.36017447545630227,0.2536231884057971,0.03281913336261163,896.75,27324.0,95.5,0.7519685039370079,4,4,128.0,1,128
O_strict_qhot044_m128,11,0.35447918441159315,0.3781999524527023,0.3339920948616601,0.06789818474601084,1855.25,27324.0,92.75,0.7303149606299213,4,4,128.0,1,128
O_strict_qhot044_m128,12,0.3731667392711824,0.3940754588930067,0.4087615283267457,0.11705826379739423,3198.5,27324.0,95.75,0.7539370078740157,4,4,128.0,1,128
O_strict_qhot044_m128,13,0.38965047323575797,0.4079963732836867,0.48353096179183136,0.17676767676767677,4830.0,27324.0,91.75,0.7224409448818898,4,4,128.0,1,128
O_strict_qhot044_m128,14,0.4041214248138483,0.420163043699763,0.5444664031620553,0.24400709998536085,6667.25,27324.0,94.75,0.7460629921259843,4,4,128.0,1,128
O_strict_qhot044_m128,15,0.4167798455263962,0.4307700528771291,0.5780632411067195,0.3137992241253111,8574.25,27324.0,96.0,0.7559055118110236,4,4,128.0,1,128
O_strict_qhot044_m128,16,0.42782281437498615,0.43999999999999995,,0.38534804567413267,10529.25,27324.0,97.5,0.767716535433071,4,4,128.0,1,128
P_stride_qhot032_m512_s4,0,0.05000000000000001,0.08000000000000002,0.7799581371009943,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
P_stride_qhot032_m512_s4,1,0.06089085027766174,0.09369542304279663,0.7579801151229723,1.4535728821443106e-05,1.0,68796.0,0.0,0.0,0,4,128.0,4,512
